"date","year","month","count","species"
2023-11-01,2023,11,233,"Mixed waders"
2023-12-01,2023,12,235,"Mixed waders"
2024-01-01,2024,1,190,"Mixed waders"
2024-02-01,2024,2,173,"Mixed waders"
2024-03-01,2024,3,127,"Mixed waders"
2024-04-01,2024,4,124,"Mixed waders"
2024-05-01,2024,5,76,"Mixed waders"
2024-06-01,2024,6,118,"Mixed waders"
2024-07-01,2024,7,102,"Mixed waders"
2024-08-01,2024,8,98,"Mixed waders"
2024-09-01,2024,9,115,"Mixed waders"
2024-10-01,2024,10,237,"Mixed waders"
2024-11-01,2024,11,266,"Mixed waders"
2024-12-01,2024,12,240,"Mixed waders"
