"date","year","week","temp_mean","temp_max","rainfall","humidity","wind_speed","aphid_abundance"
2016-08-22,2016,34,22.43,28.98,44.37,71.49,3.73,125
2016-08-29,2016,35,21.56,28.11,43.06,65.01,4.62,126
2016-09-05,2016,36,25.25,30.31,44.55,73.56,3.94,141
2016-09-12,2016,37,23.03,27.19,61.72,62.35,3.59,136
2016-09-19,2016,38,24.64,30.22,36.24,70.31,3.37,138
2016-09-26,2016,39,22.9,27.97,38.08,70.96,4.47,159
2016-10-03,2016,40,22.4,30.98,49.86,71.16,4.13,163
2016-10-10,2016,41,23.08,26.15,46.68,70.92,4.4,178
2016-10-17,2016,42,22.32,27.11,43.96,68.17,3.26,134
2016-10-24,2016,43,24.53,31.01,29.73,61.22,3.59,153
2016-10-31,2016,44,21.14,24.04,37.43,67.24,2.81,149
2016-11-07,2016,45,21.67,26.41,27.33,63.04,3.28,128
2016-11-14,2016,46,22.76,28.1,10.71,54.55,2.7,125
2016-11-21,2016,47,19.67,24.45,44.57,60.89,3.19,125
2016-11-28,2016,48,20.94,25.01,0,53.67,2.86,115
2016-12-05,2016,49,20.65,25.52,25.36,56.18,3.48,110
2016-12-12,2016,50,22.48,28.82,15.76,57.65,2.8,106
2016-12-19,2016,51,19.4,23.05,9.21,57.66,2.33,119
2016-12-26,2016,52,18.3,24.71,0,63.74,1.56,117
2017-01-02,2017,1,17.37,23.28,2.38,59.94,2.11,121
2017-01-09,2017,2,18.31,22.07,32.59,56.77,1.96,118
2017-01-16,2017,3,16.44,19.94,3.63,58.43,2.75,105
2017-01-23,2017,4,15.4,20.43,0,59.25,2.34,84
2017-01-30,2017,5,15.12,20.4,0,63.01,1.77,77
2017-02-06,2017,6,16.49,22.68,0,65.23,2.14,83
2017-02-13,2017,7,16.65,21.61,5.74,62.31,2.07,33
2017-02-20,2017,8,12.79,18.21,0,63.64,2.16,36
2017-02-27,2017,9,13.31,19.6,27.15,68.15,1.86,34
2017-03-06,2017,10,12.38,18.55,13.44,63.74,2.62,3
2017-03-13,2017,11,15.31,21.14,36.16,67.75,2.72,5
2017-03-20,2017,12,13.16,18.48,31.49,69.03,1.53,7
2017-03-27,2017,13,9.43,14.81,40.5,67.74,2.68,0
2017-04-03,2017,14,11.36,17.56,2.04,69.36,1.88,4
2017-04-10,2017,15,8.57,14.67,33.69,71.94,2.45,0
2017-04-17,2017,16,11.96,16.9,22.56,70.76,2.93,0
2017-04-24,2017,17,13.33,18.69,30.3,74.96,2.78,1
2017-05-01,2017,18,11.19,17.88,25.02,71.22,2.64,1
2017-05-08,2017,19,10.94,17.41,40.18,78.71,2.81,0
2017-05-15,2017,20,15.16,19.18,41.2,76.12,4,4
2017-05-22,2017,21,12.31,18.76,10.7,81.86,3.72,2
2017-05-29,2017,22,15.66,20.58,57.81,80.9,3.13,8
2017-06-05,2017,23,15.22,18.64,49.63,77.56,3.08,26
2017-06-12,2017,24,16.86,23.15,34.79,78.48,4.28,12
2017-06-19,2017,25,17.72,22.8,34.61,82.43,3.51,12
2017-06-26,2017,26,18.63,24.6,42.23,82.91,3.77,72
2017-07-03,2017,27,19.49,26.43,29.96,81.7,4.32,44
2017-07-10,2017,28,18.81,24.89,56.56,80.8,3.44,71
2017-07-17,2017,29,19.34,23.99,77.45,71.91,3.61,72
2017-07-24,2017,30,18.35,23.22,57.87,78.93,3.69,113
2017-07-31,2017,31,18.65,22.66,62.58,72.07,4.02,85
2017-08-07,2017,32,20.2,24.38,31.76,77.23,2.76,102
2017-08-14,2017,33,21.5,26.99,29.91,73.36,3.78,88
2017-08-21,2017,34,20.76,25.46,38.2,74.58,4.35,96
2017-08-28,2017,35,23.97,29.63,60.8,69.2,4.15,103
2017-09-04,2017,36,21.94,27.77,34.76,72.12,4.15,144
2017-09-11,2017,37,23.98,29.35,54.19,77.68,3.14,143
2017-09-18,2017,38,25.03,29.64,40.08,77.7,3.99,174
2017-09-25,2017,39,22.13,25.63,46.47,59.24,3.77,174
2017-10-02,2017,40,25.52,30.64,22.33,61.38,3.76,172
2017-10-09,2017,41,20.83,24.79,20.77,61.15,4.11,176
2017-10-16,2017,42,24.25,29.89,30.45,60.61,4.29,159
2017-10-23,2017,43,26,31.77,25.86,72.97,3.34,153
2017-10-30,2017,44,24.3,29.62,0,67.74,3.06,136
2017-11-06,2017,45,24.51,28.47,31.1,62.35,3.12,157
2017-11-13,2017,46,21.89,26.14,0,65.93,3.51,129
2017-11-20,2017,47,22.69,27.2,11.27,70.39,2.94,115
2017-11-27,2017,48,23.36,28.51,15.81,63.35,2.67,123
2017-12-04,2017,49,19.11,26.47,2.15,67.5,2.73,108
2017-12-11,2017,50,21.97,26.04,0,55.54,3.32,111
2017-12-18,2017,51,17.67,20.51,2.89,55.69,2.07,126
2017-12-25,2017,52,18.33,23.21,5.76,64.3,2.28,115
2018-01-01,2018,0,22.3,26.46,0,63.77,1.81,118
2018-01-08,2018,1,18.4,21.23,0,64,3.37,104
2018-01-15,2018,2,16.78,20.91,0,62.91,1.94,98
2018-01-22,2018,3,17.68,22.31,0,59.66,2.57,95
2018-01-29,2018,4,15.17,19.07,0,66.05,2.08,77
2018-02-05,2018,5,15.83,21.54,27.28,70.46,1.94,54
2018-02-12,2018,6,13.78,19.69,0,68.95,1.83,80
2018-02-19,2018,7,10.22,14.9,14.07,59.48,1.6,44
2018-02-26,2018,8,13.99,17.5,3.75,67.98,2.68,63
2018-03-05,2018,9,12.1,17.69,13.36,67.27,2.34,47
2018-03-12,2018,10,11.67,15.81,4.24,68.74,2.08,38
2018-03-19,2018,11,12.28,16.45,28.68,68.87,1.57,36
2018-03-26,2018,12,14.11,19.26,0,65.74,1.93,10
2018-04-02,2018,13,12.45,16.48,24.39,73.33,2.73,5
2018-04-09,2018,14,13.27,17.98,25.39,78.57,1.84,0
2018-04-16,2018,15,13.04,17.27,43.83,80.83,2.15,22
2018-04-23,2018,16,12.42,17.82,27.64,77.26,2.93,7
2018-04-30,2018,17,13.54,17.69,41.46,73.38,2.84,20
2018-05-07,2018,18,12.66,16.81,42.95,74.88,2.46,15
2018-05-14,2018,19,11.4,15.44,30.1,75.55,3.71,6
2018-05-21,2018,20,14.28,19.29,41.24,81.07,2.4,3
2018-05-28,2018,21,10.88,17.1,43.01,78.26,3.83,23
2018-06-04,2018,22,13.42,17.53,64.11,91.22,3.65,33
2018-06-11,2018,23,15.45,20.67,52.95,78.8,2.31,35
2018-06-18,2018,24,15.97,20.32,55.49,80.58,3.62,43
2018-06-25,2018,25,16.29,20.2,87.74,79.14,3.97,48
2018-07-02,2018,26,19.12,25.21,59.96,77.23,3.27,60
2018-07-09,2018,27,16.76,21.19,59.93,82.88,3.74,56
2018-07-16,2018,28,15.16,21.78,62.89,76.92,3.01,74
2018-07-23,2018,29,20.96,25.27,78.2,78.46,3.43,93
2018-07-30,2018,30,20.53,26.19,69.1,76.62,4,80
2018-08-06,2018,31,20.94,27.05,59.09,65.61,4.11,92
2018-08-13,2018,32,21.11,28.25,43.84,78.61,3.96,97
2018-08-20,2018,33,19.71,23.88,57.01,75.63,3.61,107
2018-08-27,2018,34,21.29,26.37,52.11,70.51,4.29,117
2018-09-03,2018,35,23.9,29.83,20.49,78.23,4.63,118
2018-09-10,2018,36,23.5,28,22.7,66.55,3.63,120
2018-09-17,2018,37,21.6,27.19,16.45,63.29,3.91,129
2018-09-24,2018,38,24.8,29.37,61.94,66.45,3.56,143
2018-10-01,2018,39,25.17,29.04,47.19,63.26,3.71,146
2018-10-08,2018,40,23.79,26.55,0,69.99,3.74,186
2018-10-15,2018,41,23.88,29.39,39.02,66.06,3.52,174
2018-10-22,2018,42,25.84,30.5,29.95,63.18,3.29,182
2018-10-29,2018,43,24.06,30.78,22.15,63.71,3.12,145
2018-11-05,2018,44,24.96,28.85,11.88,58.98,3.26,157
2018-11-12,2018,45,22.66,27.17,1.17,62.73,3.02,163
2018-11-19,2018,46,24.46,30.27,30.44,62.1,2.73,148
2018-11-26,2018,47,21.59,26.33,6.33,60.51,3.07,156
2018-12-03,2018,48,22.48,27.97,10.7,60.38,2.96,158
2018-12-10,2018,49,19.95,26.3,19.44,55.7,2.73,143
2018-12-17,2018,50,18.17,25.35,16.9,63.75,1.98,129
2018-12-24,2018,51,20.58,25.64,1.51,54.09,2.63,114
2018-12-31,2018,52,21.81,25.97,0,69.12,2.55,120
2019-01-07,2019,1,17.15,21.06,9.4,67.01,2.11,94
2019-01-14,2019,2,19.12,23.58,0,63.04,2.45,89
2019-01-21,2019,3,15.86,20.43,9.61,56.14,2.75,91
2019-01-28,2019,4,16.92,20.71,7.93,63.96,2.23,81
2019-02-04,2019,5,13.41,19.01,9.75,56.42,2.41,82
2019-02-11,2019,6,14.71,21.14,2.83,62.91,2.65,33
2019-02-18,2019,7,12.61,17.17,0,68.16,2.83,25
2019-02-25,2019,8,11.25,15.21,0,69.44,1.77,2
2019-03-04,2019,9,13.85,17.57,0,67.35,1.83,14
2019-03-11,2019,10,14.94,20.71,19.68,67.44,1.9,0
2019-03-18,2019,11,11.09,16.12,14.36,70.65,2.67,0
2019-03-25,2019,12,10.77,13.87,8.27,64.44,2.47,10
2019-04-01,2019,13,10.4,15.28,10.35,70.5,2.73,36
2019-04-08,2019,14,11.32,16.32,33.27,80.42,2.49,12
2019-04-15,2019,15,13.1,17.25,3.83,67.33,2.29,3
2019-04-22,2019,16,13.34,17.12,42.23,81.86,1.81,5
2019-04-29,2019,17,13.19,17.74,40.75,78.44,1.79,0
2019-05-06,2019,18,14,18.3,23.9,75.77,3.77,0
2019-05-13,2019,19,12.57,16.9,38.33,86.94,2.88,24
2019-05-20,2019,20,13.5,16.2,55.9,78.5,3.28,25
2019-05-27,2019,21,15.32,20.17,65.28,86.78,3.47,17
2019-06-03,2019,22,14.47,20.42,69.65,79.7,3.96,24
2019-06-10,2019,23,14.1,20.25,54.93,82.08,3.67,30
