"date","year","week","aphid_count","ladybird_count"
2021-03-01,2021,9,45,40
2021-03-08,2021,10,55,39
2021-03-15,2021,11,47,39
2021-03-22,2021,12,66,43
2021-03-29,2021,13,53,42
2021-04-05,2021,14,67,42
2021-04-12,2021,15,81,41
2021-04-19,2021,16,89,42
2021-04-26,2021,17,118,44
2021-05-03,2021,18,112,43
2021-05-10,2021,19,119,40
2021-05-17,2021,20,109,38
2021-05-24,2021,21,111,41
2021-05-31,2021,22,113,42
2021-06-07,2021,23,117,41
2021-06-14,2021,24,132,40
2021-06-21,2021,25,135,40
2021-06-28,2021,26,144,44
2021-07-05,2021,27,153,48
2021-07-12,2021,28,163,48
2021-07-19,2021,29,167,52
2021-07-26,2021,30,158,54
2021-08-02,2021,31,158,57
2021-08-09,2021,32,165,59
2021-08-16,2021,33,177,58
2021-08-23,2021,34,184,57
2021-08-30,2021,35,188,59
2021-09-06,2021,36,193,61
2021-09-13,2021,37,177,60
2021-09-20,2021,38,178,62
2021-09-27,2021,39,170,63
2021-10-04,2021,40,159,65
2021-10-11,2021,41,147,62
2021-10-18,2021,42,140,66
2021-10-25,2021,43,149,67
2021-11-01,2021,44,143,71
2021-11-08,2021,45,136,72
2021-11-15,2021,46,116,71
2021-11-22,2021,47,113,69
2021-11-29,2021,48,116,67
2021-12-06,2021,49,110,68
2021-12-13,2021,50,104,69
2021-12-20,2021,51,105,70
2021-12-27,2021,52,98,71
2022-01-03,2022,1,90,75
2022-01-10,2022,2,69,77
2022-01-17,2022,3,64,78
2022-01-24,2022,4,69,80
2022-01-31,2022,5,61,83
2022-02-07,2022,6,46,85
2022-02-14,2022,7,40,80
2022-02-21,2022,8,24,80
2022-02-28,2022,9,41,80
2022-03-07,2022,10,50,81
2022-03-14,2022,11,44,82
2022-03-21,2022,12,46,82
2022-03-28,2022,13,53,83
2022-04-04,2022,14,48,84
2022-04-11,2022,15,40,84
2022-04-18,2022,16,37,85
2022-04-25,2022,17,40,83
2022-05-02,2022,18,44,84
2022-05-09,2022,19,42,85
2022-05-16,2022,20,53,84
2022-05-23,2022,21,47,84
2022-05-30,2022,22,40,83
2022-06-06,2022,23,47,81
2022-06-13,2022,24,32,82
2022-06-20,2022,25,19,78
2022-06-27,2022,26,5,79
2022-07-04,2022,27,7,78
2022-07-11,2022,28,14,77
2022-07-18,2022,29,5,77
2022-07-25,2022,30,15,72
2022-08-01,2022,31,11,71
2022-08-08,2022,32,5,71
2022-08-15,2022,33,5,72
2022-08-22,2022,34,5,72
2022-08-29,2022,35,18,71
2022-09-05,2022,36,26,71
2022-09-12,2022,37,13,70
2022-09-19,2022,38,19,70
2022-09-26,2022,39,17,66
2022-10-03,2022,40,21,63
2022-10-10,2022,41,11,64
2022-10-17,2022,42,5,63
2022-10-24,2022,43,5,59
2022-10-31,2022,44,14,57
2022-11-07,2022,45,23,55
2022-11-14,2022,46,18,54
2022-11-21,2022,47,14,53
2022-11-28,2022,48,7,50
2022-12-05,2022,49,12,47
2022-12-12,2022,50,5,45
2022-12-19,2022,51,5,40
2022-12-26,2022,52,5,40
2023-01-02,2023,1,7,40
2023-01-09,2023,2,5,38
2023-01-16,2023,3,5,36
2023-01-23,2023,4,5,34
2023-01-30,2023,5,10,32
2023-02-06,2023,6,8,35
2023-02-13,2023,7,8,34
2023-02-20,2023,8,14,32
2023-02-27,2023,9,25,31
2023-03-06,2023,10,20,28
2023-03-13,2023,11,23,31
2023-03-20,2023,12,21,31
2023-03-27,2023,13,25,33
2023-04-03,2023,14,31,31
2023-04-10,2023,15,26,29
2023-04-17,2023,16,28,28
2023-04-24,2023,17,33,27
2023-05-01,2023,18,31,28
2023-05-08,2023,19,32,26
2023-05-15,2023,20,41,26
2023-05-22,2023,21,36,29
2023-05-29,2023,22,28,26
2023-06-05,2023,23,12,27
2023-06-12,2023,24,8,26
2023-06-19,2023,25,11,24
2023-06-26,2023,26,5,20
2023-07-03,2023,27,5,20
2023-07-10,2023,28,5,20
2023-07-17,2023,29,9,22
2023-07-24,2023,30,10,22
2023-07-31,2023,31,15,22
2023-08-07,2023,32,15,22
2023-08-14,2023,33,22,21
2023-08-21,2023,34,18,19
2023-08-28,2023,35,11,19
2023-09-04,2023,36,24,17
2023-09-11,2023,37,23,14
2023-09-18,2023,38,30,14
2023-09-25,2023,39,32,14
2023-10-02,2023,40,24,14
2023-10-09,2023,41,23,15
2023-10-16,2023,42,13,12
2023-10-23,2023,43,19,11
2023-10-30,2023,44,14,11
2023-11-06,2023,45,11,15
2023-11-13,2023,46,13,15
2023-11-20,2023,47,21,14
2023-11-27,2023,48,21,12
2023-12-04,2023,49,5,9
2023-12-11,2023,50,6,7
2023-12-18,2023,51,11,8
2023-12-25,2023,52,13,8
2024-01-01,2024,0,5,7
2024-01-08,2024,1,5,8
2024-01-15,2024,2,16,9
2024-01-22,2024,3,7,12
2024-01-29,2024,4,15,13
2024-02-05,2024,5,5,11
2024-02-12,2024,6,5,12
2024-02-19,2024,7,5,18
2024-02-26,2024,8,5,17
2024-03-04,2024,9,5,16
2024-03-11,2024,10,5,17
2024-03-18,2024,11,5,12
2024-03-25,2024,12,6,12
2024-04-01,2024,13,6,13
2024-04-08,2024,14,6,15
2024-04-15,2024,15,5,12
2024-04-22,2024,16,8,11
2024-04-29,2024,17,16,9
2024-05-06,2024,18,23,7
2024-05-13,2024,19,16,7
2024-05-20,2024,20,17,4
2024-05-27,2024,21,12,2
2024-06-03,2024,22,21,3
2024-06-10,2024,23,14,4
2024-06-17,2024,24,13,2
2024-06-24,2024,25,17,1
2024-07-01,2024,26,25,1
2024-07-08,2024,27,37,1
2024-07-15,2024,28,41,2
2024-07-22,2024,29,45,2
2024-07-29,2024,30,47,2
2024-08-05,2024,31,61,4
2024-08-12,2024,32,58,7
2024-08-19,2024,33,62,5
2024-08-26,2024,34,65,5
2024-09-02,2024,35,68,3
2024-09-09,2024,36,64,6
2024-09-16,2024,37,73,4
2024-09-23,2024,38,68,7
2024-09-30,2024,39,84,6
2024-10-07,2024,40,75,11
2024-10-14,2024,41,77,11
2024-10-21,2024,42,78,14
2024-10-28,2024,43,76,17
2024-11-04,2024,44,74,18
2024-11-11,2024,45,66,19
2024-11-18,2024,46,75,18
2024-11-25,2024,47,85,24
2024-12-02,2024,48,91,24
2024-12-09,2024,49,91,23
2024-12-16,2024,50,108,17
